"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	2020-03-01	7	3285	0.00213089802130898	"0.00103259682714467-0.00439224929088367"	91	1169422	7.78162203208081e-05	"6.33868230938317e-05-9.55300164629741e-05"
"60-69"	2020-04-01	60	3299	0.018187329493786	"0.0141561382723418-0.0233392911525125"	337	1169083	0.000288260114979005	"0.000259086417567973-0.000320717780702588"
"60-69"	2020-05-01	17	3236	0.00525339925834363	"0.00328261241036952-0.00839742172144521"	72	1168706	6.16065973820619e-05	"4.89256129983219e-05-7.75740993992e-05"
"60-69"	2020-06-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	42	1168841	3.59330310966162e-05	"2.65856812756293e-05-4.85666877172135e-05"
"60-69"	2020-07-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	20	1169684	1.70986351869394e-05	"1.1069277484337e-05-2.64120549419414e-05"
"60-69"	2020-08-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	[REDACTED]	[REDACTED]	[REDACTED]
"60-69"	2020-09-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	14	1169652	1.19693720867403e-05	"7.13021665270399e-06-2.00927131118161e-05"
"60-69"	2020-10-01	8	3411	0.00234535326883612	"0.00118891167293853-0.00462144850335683"	80	1169777	6.83891032222381e-05	"5.49555638569976e-05-8.51061066832459e-05"
"70-79"	2020-03-01	32	17654	0.0018126203693214	"0.00128431679828296-0.00255768501031325"	349	2001779	0.000174344920193488	"0.000156989268831714-0.000193618921170164"
"70-79"	2020-04-01	500	17560	0.0284738041002278	"0.0261150373826359-0.031038829621587"	1231	2004159	0.000614222723845763	"0.000580865221766542-0.00064949461118287"
"70-79"	2020-05-01	155	16808	0.00922179914326511	"0.00788469965558932-0.0107831815274104"	297	2006433	0.000148023881186165	"0.000132120406597693-0.000165841356497736"
"70-79"	2020-06-01	26	16736	0.00155353728489484	"0.0010604378780687-0.00227540368041092"	110	2011280	5.46915397160018e-05	"4.53816971793729e-05-6.5911126939543e-05"
"70-79"	2020-07-01	20	17121	0.00116815606565037	"0.00075635902547132-0.00180374986231708"	45	2015138	2.23309768363258e-05	"1.66903786311188e-05-2.98777868895571e-05"
"70-79"	2020-08-01	[REDACTED]	[REDACTED]	[REDACTED]	[REDACTED]	18	2019340	8.91380351996197e-06	"5.63866139815177e-06-1.40912419510033e-05"
"70-79"	2020-09-01	7	17573	0.000398338359984066	"0.000192971668931878-0.00082208321806209"	39	2022966	1.92786235655963e-05	"1.41035658072731e-05-2.63525285661734e-05"
"70-79"	2020-10-01	43	17697	0.00242979035994801	"0.00180449658833914-0.00327105075384239"	330	2026789	0.00016281911930645	"0.000146175442046087-0.000181357518028354"
"80+"	2020-03-01	142	78700	0.00180432020330368	"0.00153114796208128-0.00212612534866682"	541	1112747	0.000486184191015568	"0.000446913846408699-0.000528903397096731"
"80+"	2020-04-01	2266	78010	0.0290475580053839	"0.0278920566289364-0.0302494394697389"	2646	1111066	0.00238149668876556	"0.00229256820287553-0.0024738661482426"
"80+"	2020-05-01	817	73430	0.0111262426801035	"0.010392730062093-0.0119109030624133"	860	1108996	0.000775476196487634	"0.00072536845092343-0.000829042464548918"
"80+"	2020-06-01	201	72739	0.00276330441716273	"0.00240718487435439-0.00317194086065609"	311	1110233	0.000280121379926556	"0.000250674347693369-0.000313026509142147"
"80+"	2020-07-01	58	73724	0.000786718029406977	"0.000608682443002883-0.00101677486660287"	74	1112019	6.65456255693473e-05	"5.30132873708339e-05-8.35319823481757e-05"
"80+"	2020-08-01	29	74942	0.000386965920311708	"0.000269456815403404-0.000555691820157291"	35	1113549	3.14310371613642e-05	"2.26011732650688e-05-4.37104161552926e-05"
"80+"	2020-09-01	43	75398	0.000570306904692432	"0.000423454926418574-0.000768047258176736"	82	1116212	7.34627472200621e-05	"5.9190630844633e-05-9.11758597449794e-05"
"80+"	2020-10-01	206	75819	0.00271699705878474	"0.00237082397932636-0.0031135584418539"	590	1116737	0.000528324932369931	"0.000487389004302065-0.00057269710956677"
