"Gender"	"over80"	"Date"	"Care_or_Nursing_Home_Standardised_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_Standardised_Rate"	"Private_Home_Confidence_Interval"
"F"	"No"	2019-02-01	23.96	"20.39-27.53"	1.17	"1.11-1.22"
"F"	"No"	2019-03-01	20.32	"16.97-23.68"	1.11	"1.06-1.17"
"F"	"No"	2019-04-01	21.62	"18.42-24.81"	1.11	"1.06-1.16"
"F"	"No"	2019-05-01	17.36	"14.47-20.25"	1.08	"1.03-1.13"
"F"	"No"	2019-06-01	16.07	"13.27-18.88"	1.01	"0.97-1.06"
"F"	"No"	2019-07-01	19	"15.91-22.09"	1.05	"1-1.1"
"F"	"No"	2019-08-01	20.35	"17.02-23.68"	1.05	"1-1.1"
"F"	"No"	2019-09-01	19.77	"16.7-22.84"	1.06	"1.01-1.11"
"F"	"No"	2019-10-01	23.58	"20.13-27.03"	1.1	"1.05-1.15"
"F"	"No"	2019-11-01	25.73	"22.12-29.35"	1.13	"1.07-1.18"
"F"	"No"	2019-12-01	25.15	"21.64-28.65"	1.32	"1.26-1.37"
"F"	"No"	2020-01-01	24.38	"21-27.76"	1.29	"1.23-1.34"
"F"	"No"	2020-02-01	21.46	"18.25-24.66"	1.1	"1.05-1.15"
"F"	"No"	2020-03-01	27.7	"23.97-31.42"	1.29	"1.23-1.34"
"F"	"No"	2020-04-01	53.76	"48.89-58.62"	1.57	"1.51-1.64"
"F"	"No"	2020-05-01	30.47	"26.77-34.18"	1.17	"1.12-1.23"
"F"	"No"	2020-06-01	18.16	"15.24-21.08"	1.08	"1.03-1.13"
"F"	"No"	2020-07-01	17.82	"14.87-20.78"	1.03	"0.98-1.08"
"F"	"No"	2020-08-01	17.89	"15.05-20.74"	1.01	"0.96-1.06"
"F"	"No"	2020-09-01	18.64	"15.63-21.64"	1.03	"0.98-1.08"
"F"	"No"	2020-10-01	22.55	"19.26-25.83"	1.16	"1.1-1.21"
"F"	"No"	2020-11-01	23.3	"20.12-26.48"	1.18	"1.13-1.23"
"F"	"No"	2020-12-01	24.23	"21.02-27.45"	1.38	"1.32-1.43"
"F"	"No"	2021-01-01	30.09	"26.51-33.67"	1.64	"1.58-1.71"
"F"	"Yes"	2019-02-01	31.41	"29.64-33.17"	6.16	"5.97-6.36"
"F"	"Yes"	2019-03-01	28.05	"26.41-29.68"	5.62	"5.44-5.81"
"F"	"Yes"	2019-04-01	28.48	"26.82-30.14"	5.65	"5.47-5.84"
"F"	"Yes"	2019-05-01	28.43	"26.75-30.1"	5.47	"5.29-5.65"
"F"	"Yes"	2019-06-01	26.15	"24.55-27.75"	4.97	"4.79-5.14"
"F"	"Yes"	2019-07-01	27.16	"25.53-28.79"	4.97	"4.8-5.14"
"F"	"Yes"	2019-08-01	26.47	"24.89-28.05"	4.98	"4.81-5.15"
"F"	"Yes"	2019-09-01	26.78	"25.16-28.39"	4.92	"4.75-5.09"
"F"	"Yes"	2019-10-01	32.73	"30.96-34.5"	5.55	"5.36-5.73"
"F"	"Yes"	2019-11-01	32.93	"31.18-34.69"	5.76	"5.57-5.95"
"F"	"Yes"	2019-12-01	37.61	"35.73-39.48"	6.61	"6.41-6.81"
"F"	"Yes"	2020-01-01	34.48	"32.69-36.27"	6.73	"6.52-6.93"
"F"	"Yes"	2020-02-01	32.41	"30.66-34.15"	5.71	"5.52-5.9"
"F"	"Yes"	2020-03-01	34.16	"32.38-35.93"	6.44	"6.24-6.63"
"F"	"Yes"	2020-04-01	75.74	"73.09-78.39"	8.62	"8.4-8.85"
"F"	"Yes"	2020-05-01	47.16	"45.03-49.29"	6.22	"6.02-6.41"
"F"	"Yes"	2020-06-01	26.93	"25.28-28.59"	5.07	"4.89-5.24"
"F"	"Yes"	2020-07-01	25.23	"23.64-26.82"	4.85	"4.68-5.02"
"F"	"Yes"	2020-08-01	26.74	"25.11-28.37"	4.96	"4.79-5.14"
"F"	"Yes"	2020-09-01	25.14	"23.58-26.7"	4.8	"4.63-4.97"
