"Gender"	"over80"	"Date"	"Comparative_Mortality_Rate"	"Confidence_Interval"
"F"	"No"	2019-02-01		"NaN-NaN"
"F"	"No"	2019-03-01		"NaN-NaN"
"F"	"No"	2019-04-01		"NaN-NaN"
"F"	"No"	2019-05-01		"NaN-NaN"
"F"	"No"	2019-06-01		"NaN-NaN"
"F"	"No"	2019-07-01		"NaN-NaN"
"F"	"No"	2019-08-01		"NaN-NaN"
"F"	"No"	2019-09-01		"NaN-NaN"
"F"	"No"	2019-10-01		"NaN-NaN"
"F"	"No"	2019-11-01		"NaN-NaN"
"F"	"No"	2019-12-01		"NaN-NaN"
"F"	"No"	2020-01-01		"NaN-NaN"
"F"	"No"	2020-02-01		"NaN-NaN"
"F"	"No"	2020-03-01	15.55	"7.61-31.78"
"F"	"No"	2020-04-01	48.97	"41.72-57.48"
"F"	"No"	2020-05-01	72.78	"57.79-91.67"
"F"	"No"	2020-06-01	48.34	"30.3-77.12"
"F"	"No"	2020-07-01	69.65	"37.77-128.43"
"F"	"No"	2020-08-01	40.38	"14.1-115.61"
"F"	"No"	2020-09-01	32	"10.89-94.1"
"F"	"No"	2020-10-01	22.44	"13.61-37"
"F"	"No"	2020-11-01	25.09	"19.03-33.06"
"F"	"No"	2020-12-01	22.99	"16.92-31.25"
"F"	"No"	2021-01-01	23.35	"19.59-27.83"
"F"	"No"	2021-02-01	14.7	"11.02-19.62"
"F"	"No"	2021-03-01	16.7	"10.21-27.33"
"F"	"Yes"	2019-02-01		"NaN-NaN"
"F"	"Yes"	2019-03-01		"NaN-NaN"
"F"	"Yes"	2019-04-01		"NaN-NaN"
"F"	"Yes"	2019-05-01		"NaN-NaN"
"F"	"Yes"	2019-06-01		"NaN-NaN"
"F"	"Yes"	2019-07-01		"NaN-NaN"
"F"	"Yes"	2019-08-01		"NaN-NaN"
"F"	"Yes"	2019-09-01		"NaN-NaN"
"F"	"Yes"	2019-10-01		"NaN-NaN"
"F"	"Yes"	2019-11-01		"NaN-NaN"
"F"	"Yes"	2019-12-01		"NaN-NaN"
"F"	"Yes"	2020-01-01		"NaN-NaN"
"F"	"Yes"	2020-02-01		"NaN-NaN"
"F"	"Yes"	2020-03-01	4.54	"3.33-6.2"
"F"	"Yes"	2020-04-01	11.21	"10.36-12.13"
"F"	"Yes"	2020-05-01	13.38	"12.05-14.86"
"F"	"Yes"	2020-06-01	9.78	"7.93-12.07"
"F"	"Yes"	2020-07-01	12.43	"8.15-18.96"
"F"	"Yes"	2020-08-01	11.33	"6.28-20.44"
"F"	"Yes"	2020-09-01	6.02	"3.56-10.17"
"F"	"Yes"	2020-10-01	5.99	"4.76-7.53"
"F"	"Yes"	2020-11-01	6.75	"5.95-7.65"
"F"	"Yes"	2020-12-01	7.98	"7.06-9.02"
"F"	"Yes"	2021-01-01	7.33	"6.81-7.88"
"F"	"Yes"	2021-02-01	7.59	"6.81-8.45"
"F"	"Yes"	2021-03-01	4.3	"3.37-5.47"
"M"	"No"	2019-02-01		"NaN-NaN"
"M"	"No"	2019-03-01		"NaN-NaN"
"M"	"No"	2019-04-01		"NaN-NaN"
"M"	"No"	2019-05-01		"NaN-NaN"
"M"	"No"	2019-06-01		"NaN-NaN"
"M"	"No"	2019-07-01		"NaN-NaN"
"M"	"No"	2019-08-01		"NaN-NaN"
"M"	"No"	2019-09-01		"NaN-NaN"
"M"	"No"	2019-10-01		"NaN-NaN"
"M"	"No"	2019-11-01		"NaN-NaN"
"M"	"No"	2019-12-01		"NaN-NaN"
"M"	"No"	2020-01-01		"NaN-NaN"
"M"	"No"	2020-02-01		"NaN-NaN"
"M"	"No"	2020-03-01	12.36	"7.85-19.47"
"M"	"No"	2020-04-01	39.68	"35.25-44.66"
"M"	"No"	2020-05-01	73.49	"61.61-87.65"
"M"	"No"	2020-06-01	35.36	"23.96-52.18"
"M"	"No"	2020-07-01	30.89	"14.87-64.17"
"M"	"No"	2020-08-01	34.27	"12.58-93.32"
"M"	"No"	2020-09-01	7.38	"2.28-23.88"
"M"	"No"	2020-10-01	17.01	"11.55-25.05"
"M"	"No"	2020-11-01	19.25	"15.3-24.22"
"M"	"No"	2020-12-01	20.12	"16.09-25.17"
"M"	"No"	2021-01-01	21.36	"18.66-24.45"
"M"	"No"	2021-02-01	16.83	"13.54-20.92"
"M"	"No"	2021-03-01	11.43	"7.08-18.46"
"M"	"Yes"	2019-02-01		"NaN-NaN"
"M"	"Yes"	2019-03-01		"NaN-NaN"
"M"	"Yes"	2019-04-01		"NaN-NaN"
"M"	"Yes"	2019-05-01		"NaN-NaN"
"M"	"Yes"	2019-06-01		"NaN-NaN"
"M"	"Yes"	2019-07-01		"NaN-NaN"
"M"	"Yes"	2019-08-01		"NaN-NaN"
"M"	"Yes"	2019-09-01		"NaN-NaN"
"M"	"Yes"	2019-10-01		"NaN-NaN"
"M"	"Yes"	2019-11-01		"NaN-NaN"
"M"	"Yes"	2019-12-01		"NaN-NaN"
"M"	"Yes"	2020-01-01		"NaN-NaN"
"M"	"Yes"	2020-02-01		"NaN-NaN"
"M"	"Yes"	2020-03-01	3.84	"2.85-5.17"
"M"	"Yes"	2020-04-01	13.45	"12.49-14.5"
"M"	"Yes"	2020-05-01	20.43	"18.32-22.79"
"M"	"Yes"	2020-06-01	13.61	"11.02-16.81"
"M"	"Yes"	2020-07-01	17.25	"11.32-26.28"
"M"	"Yes"	2020-08-01	17.18	"8.47-34.87"
"M"	"Yes"	2020-09-01	9.78	"5.78-16.54"
"M"	"Yes"	2020-10-01	5.97	"4.73-7.53"
"M"	"Yes"	2020-11-01	7.76	"6.85-8.8"
"M"	"Yes"	2020-12-01	9.64	"8.54-10.88"
"M"	"Yes"	2021-01-01	8.49	"7.85-9.19"
"M"	"Yes"	2021-02-01	7.71	"6.83-8.71"
"M"	"Yes"	2021-03-01	7.31	"5.71-9.37"
