"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01	661	9578	73.94	"68.69-79.57"	78180	2354058	35.58	"35.34-35.83"
"65-74"	2019-03-01	687	9586	69.36	"64.52-74.52"	83004	2354502	34.12	"33.89-34.34"
"65-74"	2019-04-01	669	9611	69.61	"64.69-74.87"	79918	2354321	33.95	"33.71-34.18"
"65-74"	2019-05-01	675	9646	67.72	"62.96-72.81"	82509	2355810	33.89	"33.67-34.12"
"65-74"	2019-06-01	663	9757	67.95	"63.13-73.12"	79882	2356276	33.9	"33.67-34.13"
"65-74"	2019-07-01	721	9811	71.12	"66.28-76.28"	86062	2356577	35.34	"35.11-35.57"
"65-74"	2019-08-01	706	9929	68.81	"64.08-73.87"	79628	2358366	32.67	"32.45-32.9"
"65-74"	2019-09-01	697	10005	69.67	"64.84-74.82"	79613	2359740	33.74	"33.51-33.97"
"65-74"	2019-10-01	714	10012	69.01	"64.29-74.05"	87200	2359824	35.76	"35.53-35.99"
"65-74"	2019-11-01	739	10114	73.07	"68.16-78.3"	84046	2360599	35.6	"35.37-35.84"
"65-74"	2019-12-01	761	10099	72.92	"68.1-78.06"	77707	2361157	31.85	"31.63-32.07"
"65-74"	2020-01-01	767	10142	73.19	"68.36-78.32"	85542	2362671	35.04	"34.81-35.27"
"65-74"	2020-02-01	678	10215	68.66	"63.83-73.83"	79212	2363592	34.67	"34.43-34.91"
"65-74"	2020-03-01	608	10349	56.85	"52.63-61.4"	63219	2367325	25.84	"25.65-26.04"
"65-74"	2020-04-01	314	10392	30.22	"27.09-33.68"	27358	2369480	11.55	"11.41-11.68"
"65-74"	2020-05-01	426	10136	40.67	"37.06-44.62"	35804	2369977	14.62	"14.47-14.77"
"65-74"	2020-06-01	474	10027	47.27	"43.29-51.6"	46615	2371772	19.65	"19.48-19.83"
"65-74"	2020-07-01	574	10153	54.71	"50.52-59.22"	57019	2373489	23.25	"23.06-23.44"
"65-74"	2020-08-01	606	10375	56.53	"52.31-61.05"	59102	2376068	24.07	"23.88-24.26"
"65-74"	2020-09-01	601	10437	57.58	"53.28-62.22"	66175	2377926	27.83	"27.62-28.04"
"65-74"	2020-10-01	620	10481	57.25	"53.03-61.78"	68806	2379759	27.98	"27.78-28.19"
"65-74"	2020-11-01	526	10542	49.9	"45.9-54.22"	64906	2381486	27.25	"27.05-27.46"
"65-74"	2020-12-01	493	10550	45.22	"41.48-49.28"	60678	2382017	24.65	"24.46-24.85"
"65-74"	2021-01-01	427	10551	39.16	"35.68-42.97"	52603	2384622	21.35	"21.17-21.53"
"65-74"	2021-02-01	535	10415	55.04	"50.67-59.76"	55283	2385699	24.83	"24.62-25.03"
"65-74"	2021-03-01	628	10440	58.21	"53.95-62.79"	71303	2386063	28.92	"28.71-29.13"
"75-79"	2019-02-01	654	10077	69.54	"64.56-74.87"	36224	789762	49.14	"48.65-49.64"
"75-79"	2019-03-01	734	10079	70.48	"65.72-75.54"	38989	794227	47.51	"47.05-47.97"
"75-79"	2019-04-01	720	10143	70.98	"66.15-76.15"	38034	798291	47.64	"47.18-48.11"
"75-79"	2019-05-01	745	10193	70.73	"66-75.78"	39553	802968	47.67	"47.21-48.13"
"75-79"	2019-06-01	670	10321	64.92	"60.32-69.83"	38126	807408	47.22	"46.76-47.69"
"75-79"	2019-07-01	755	10438	70	"65.34-74.96"	41165	811618	49.08	"48.62-49.55"
"75-79"	2019-08-01	699	10549	64.12	"59.68-68.87"	38358	814633	45.57	"45.12-46.01"
"75-79"	2019-09-01	725	10663	67.99	"63.37-72.93"	38682	818155	47.28	"46.82-47.74"
"75-79"	2019-10-01	812	10675	73.61	"68.89-78.63"	41568	821989	48.94	"48.48-49.4"
"75-79"	2019-11-01	785	10816	72.58	"67.84-77.62"	40456	825876	48.99	"48.52-49.45"
"75-79"	2019-12-01	826	10805	73.98	"69.28-78.98"	38409	830754	44.74	"44.31-45.18"
"75-79"	2020-01-01	817	10785	73.31	"68.62-78.29"	41755	833155	48.5	"48.05-48.96"
"75-79"	2020-02-01	740	10863	70.47	"65.73-75.53"	38609	834517	47.86	"47.4-48.33"
"75-79"	2020-03-01	607	10922	53.78	"49.77-58.09"	30285	836017	35.06	"34.67-35.45"
"75-79"	2020-04-01	329	11008	29.89	"26.87-33.24"	13501	837081	16.13	"15.86-16.4"
"75-79"	2020-05-01	380	10486	35.07	"31.77-38.7"	17931	838417	20.7	"20.4-21"
"75-79"	2020-06-01	487	10245	47.54	"43.58-51.83"	23452	841298	27.88	"27.53-28.23"
"75-79"	2020-07-01	554	10432	51.39	"47.39-55.72"	28608	843878	32.81	"32.44-33.18"
"75-79"	2020-08-01	627	10635	57.05	"52.87-61.54"	30171	846641	34.49	"34.11-34.87"
"75-79"	2020-09-01	617	10743	57.43	"53.19-61.99"	33385	848193	39.36	"38.95-39.78"
"75-79"	2020-10-01	650	10881	57.81	"53.65-62.27"	34320	850699	39.04	"38.64-39.45"
"75-79"	2020-11-01	517	10989	47.05	"43.24-51.17"	31735	854441	37.14	"36.74-37.54"
"75-79"	2020-12-01	488	10960	43.09	"39.5-46.98"	30351	857153	34.27	"33.89-34.65"
"75-79"	2021-01-01	419	10898	37.21	"33.87-40.86"	25277	860044	28.44	"28.1-28.79"
"75-79"	2021-02-01	473	10816	46.86	"42.9-51.16"	28126	861894	34.96	"34.56-35.37"
"75-79"	2021-03-01	710	10837	63.4	"59.04-68.06"	35726	865811	39.93	"39.53-40.34"
"80-84"	2019-02-01	1238	17541	75.62	"71.66-79.78"	31067	580377	57.35	"56.74-57.98"
"80-84"	2019-03-01	1249	17563	68.82	"65.23-72.59"	33317	581608	55.44	"54.86-56.02"
"80-84"	2019-04-01	1241	17562	70.66	"66.97-74.55"	32789	583123	56.23	"55.64-56.82"
"80-84"	2019-05-01	1184	17661	64.88	"61.4-68.54"	33667	585079	55.69	"55.11-56.27"
"80-84"	2019-06-01	1201	17920	67.02	"63.45-70.77"	32442	586571	55.31	"54.73-55.9"
"80-84"	2019-07-01	1257	17940	67.81	"64.28-71.51"	35150	588110	57.84	"57.26-58.43"
"80-84"	2019-08-01	1235	18128	65.93	"62.47-69.57"	32706	589400	53.7	"53.14-54.27"
"80-84"	2019-09-01	1167	18251	63.94	"60.48-67.58"	32741	590816	55.42	"54.84-56"
"80-84"	2019-10-01	1339	18224	71.1	"67.52-74.86"	35413	591329	57.96	"57.37-58.54"
"80-84"	2019-11-01	1362	18267	74.56	"70.84-78.46"	34157	591606	57.74	"57.14-58.33"
"80-84"	2019-12-01	1351	18180	71.92	"68.31-75.69"	32560	592129	53.21	"52.66-53.78"
"80-84"	2020-01-01	1347	18117	71.95	"68.34-75.74"	34703	592584	56.67	"56.1-57.25"
"80-84"	2020-02-01	1230	18332	69.41	"65.76-73.25"	31924	593149	55.68	"55.09-56.27"
"80-84"	2020-03-01	948	18411	49.83	"46.83-53.01"	24685	594164	40.21	"39.72-40.7"
"80-84"	2020-04-01	462	18508	24.96	"22.81-27.31"	11792	594306	19.84	"19.49-20.2"
"80-84"	2020-05-01	663	17495	36.67	"34.03-39.51"	16040	593421	26.16	"25.76-26.56"
"80-84"	2020-06-01	778	17061	45.6	"42.57-48.84"	20035	592413	33.82	"33.36-34.28"
"80-84"	2020-07-01	885	17150	49.94	"46.83-53.24"	24392	592254	39.86	"39.37-40.35"
"80-84"	2020-08-01	1050	17562	57.86	"54.56-61.35"	25551	592728	41.72	"41.22-42.22"
"80-84"	2020-09-01	992	17629	56.27	"52.96-59.77"	27815	594035	46.82	"46.29-47.36"
"80-84"	2020-10-01	987	17712	53.93	"50.75-57.29"	27701	593975	45.13	"44.62-45.65"
"80-84"	2020-11-01	839	17791	47.16	"44.14-50.37"	25539	593239	43.05	"42.54-43.57"
"80-84"	2020-12-01	736	17606	40.46	"37.69-43.41"	23942	592879	39.08	"38.6-39.57"
"80-84"	2021-01-01	688	17475	38.1	"35.41-40.99"	20139	592839	32.87	"32.43-33.32"
